#CODIGO_PROGRAMA,DESCRICAO_PROGRAMA,CODIGO_FINALIDADE,FINALIDADE,CODIGO_ATIVIDADE,ATIVIDADE,CODIGO_MODALIDADE,MODALIDADE
"0151","PROCAP-AGRO (PROGRAMA DE CAPITALIZAÇÃO DAS COOPERATIVAS DE PRODUÇÃO AGROPECUÁRIAS)","3","Investimento","1","Agrícola","90","SERVIÇOS PROFISSIONAIS/TÉCNICOS"
"0151","PROCAP-AGRO (PROGRAMA DE CAPITALIZAÇÃO DAS COOPERATIVAS DE PRODUÇÃO AGROPECUÁRIAS)","2","Custeio","2","Pecuário(a)","03","BENEFICIAMENTO OU INDUSTRIALIZAÇÃO"
"0151","PROCAP-AGRO (PROGRAMA DE CAPITALIZAÇÃO DAS COOPERATIVAS DE PRODUÇÃO AGROPECUÁRIAS)","2","Custeio","1","Agrícola","03","BENEFICIAMENTO OU INDUSTRIALIZAÇÃO"
"0151","PROCAP-AGRO (PROGRAMA DE CAPITALIZAÇÃO DAS COOPERATIVAS DE PRODUÇÃO AGROPECUÁRIAS)","2","Custeio","1","Agrícola","01","LAVOURA"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021","3","Investimento","2","Pecuário(a)","70","AQUISIÇÃO DE ATIVOS OPERACIONAIS"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021","3","Investimento","1","Agrícola","70","AQUISIÇÃO DE ATIVOS OPERACIONAIS"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021","3","Investimento","1","Agrícola","99","Renegociação Total com Nova Operação - Encerrado"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021","3","Investimento","2","Pecuário(a)","99","Renegociação Total com Nova Operação - Encerrado"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021","3","Investimento","2","Pecuário(a)","40","ATENDIMENTO A COOPERADOS (MCR 5-2)"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021","3","Investimento","1","Agrícola","40","ATENDIMENTO A COOPERADOS (MCR 5-2)"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021","3","Investimento","2","Pecuário(a)","14","MÁQUINAS, EQUIPAMENTOS, MATERIAIS E UTENSÍLIOS"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021","3","Investimento","2","Pecuário(a)","27","AQUISIÇÃO DE ANIMAIS"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021","3","Investimento","2","Pecuário(a)","28","AQUISIÇÃO DE ANIMAIS DE SERVIÇO"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021","3","Investimento","1","Agrícola","16","AQUISIÇÃO DE ANIMAIS DE SERVIÇO (USO AGRICULTURA)"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021","3","Investimento","2","Pecuário(a)","15","AQUISIÇÃO DE VEÍCULOS"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021","3","Investimento","1","Agrícola","15","AQUISIÇÃO DE VEÍCULOS"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021","3","Investimento","1","Agrícola","14","MÁQUINAS, EQUIPAMENTOS, MATERIAIS E UTENSÍLIOS"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021","3","Investimento","2","Pecuário(a)","13","MELHORAMENTO DAS EXPLORAÇÕES"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021","3","Investimento","1","Agrícola","13","MELHORAMENTO DAS EXPLORAÇÕES"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021","3","Investimento","1","Agrícola","12","FORMAÇÃO DE CULTURAS PERENES"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021","3","Investimento","2","Pecuário(a)","90","SERVIÇOS PROFISSIONAIS/TÉCNICOS"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021","3","Investimento","1","Agrícola","90","SERVIÇOS PROFISSIONAIS/TÉCNICOS"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","3","Investimento","1","Agrícola","10","PASTAGEM"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","3","Investimento","2","Pecuário(a)","10","PASTAGEM"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","3","Investimento","2","Pecuário(a)","70","AQUISIÇÃO DE ATIVOS OPERACIONAIS"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","3","Investimento","1","Agrícola","70","AQUISIÇÃO DE ATIVOS OPERACIONAIS"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","3","Investimento","2","Pecuário(a)","45","COOPERATIVAS DE CRÉDITO (SINGULAR OU CENTRAL) - encerrado"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","3","Investimento","1","Agrícola","45","COOPERATIVAS DE CRÉDITO (SINGULAR OU CENTRAL) - encerrado"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","3","Investimento","2","Pecuário(a)","60","AQUICULTURA"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","3","Investimento","2","Pecuário(a)","50","PESCA"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","3","Investimento","1","Agrícola","99","Renegociação Total com Nova Operação - Encerrado"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","3","Investimento","2","Pecuário(a)","99","Renegociação Total com Nova Operação - Encerrado"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","3","Investimento","2","Pecuário(a)","40","ATENDIMENTO A COOPERADOS (MCR 5-2)"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","3","Investimento","1","Agrícola","40","ATENDIMENTO A COOPERADOS (MCR 5-2)"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","3","Investimento","2","Pecuário(a)","14","MÁQUINAS, EQUIPAMENTOS, MATERIAIS E UTENSÍLIOS"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","3","Investimento","2","Pecuário(a)","27","AQUISIÇÃO DE ANIMAIS"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","3","Investimento","2","Pecuário(a)","28","AQUISIÇÃO DE ANIMAIS DE SERVIÇO"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","3","Investimento","1","Agrícola","16","AQUISIÇÃO DE ANIMAIS DE SERVIÇO (USO AGRICULTURA)"
